severity,subjects,components,date
Recall,Fuel:fuel tank assembly:attachments,"Fuel System, Gasoline",1979-01-26
Recall,Equipment:certification label,Equipment,1979-01-26
Recall,Equipment:other labels,Equipment,1979-01-15
Recall,Visual systems:glass:windshield,Visibility,1979-01-15
Recall,Brakes:hydraulic:linkage:pedal,"Service Brakes, Hydraulic",1979-01-09
Recall,Interior systems:tracks and anchors:rear seat,Seats,1979-01-09
Recall,Brakes:hydraulic:lines:hose:non-metallic,"Service Brakes, Hydraulic",1980-12-23
Recall,Brakes:hydraulic:linkage:pedal,"Service Brakes, Hydraulic",1980-11-19
Recall,Electrical system:wiring:harness:under dash,Electrical System,1980-11-13
Recall,Fuel:fuel tank assembly:attachments,"Fuel System, Gasoline",1980-11-10
Large Recall,Engine cooling system:fan,Engine And Engine Cooling,1980-11-07
Large Recall,Engine cooling system:fan,Engine And Engine Cooling,1980-11-07
Recall,Fuel:fuel tank assembly:tank,"Fuel System, Gasoline",1980-11-04
Recall,Structure:bumper assembly:attachments/support bars,Structure,1980-10-24
Recall,Electrical system:wiring:harness:front:underhood,Electrical System,1980-10-15
Recall,Brakes:hydraulic system,"Service Brakes, Hydraulic",1980-10-03
Recall,Electrical system:ignition:switch:neutral start,Electrical System,1980-09-23
Recall,Brakes:hydraulic:lines:hose:non-metallic,"Service Brakes, Hydraulic",1980-09-19
Recall,Fuel:fuel tank assembly:attachments,"Fuel System, Gasoline",1980-08-06
Large Recall,Engine cooling system:fan,Engine And Engine Cooling,1980-08-06
Recall,Fuel:fuel tank assembly:attachments,"Fuel System, Gasoline",1980-08-05
Recall,Visual systems:mirrors:rearview:exterior,Visibility,1980-07-28
Recall,Exhaust system,Engine And Engine Cooling,1980-07-14
Recall,Fuel:fuel lines fittings:metallic,"Fuel System, Gasoline",1980-07-14
Recall,Wheels:disc:spider,Wheels,1980-06-09
Recall,Lighting:switch:button:ring:brake lights,Exterior Lighting,1980-05-27
Recall,Visual systems:glass:power window door and side,Visibility,1980-05-16
Recall,Fuel:fuel tank assembly:tank,"Fuel System, Gasoline",1980-04-10
Recall,Electrical system:wiring:harness:under dash,Electrical System,1980-04-08
Recall,Exhaust system,Engine And Engine Cooling,1980-03-24
Recall,Steering:column shaft upper,Steering,1980-03-24
Recall,Equipment:tire reserve load label (glove compartme,Equipment,1981-12-23
Large Recall,Engine cooling system:fan,Engine And Engine Cooling,1981-12-02
Recall,Engine cooling system:fan,Engine And Engine Cooling,1981-12-02
Recall,Brakes:hydraulic:lines:hose:non-metallic,"Service Brakes, Hydraulic",1981-10-15
Recall,Wheels:multiple:lugs:nuts:bolts,Wheels,1981-10-06
Recall,Lighting:general or unknown component:high/low bea,Exterior Lighting,1981-09-15
Recall,Fuel:fuel tank assembly,"Fuel System, Gasoline",1981-09-09
Recall,Interior systems:bucket:back rest,Seats,1981-09-08
Large Recall,Fuel:fuel tank assembly:pipe:filler:neck,"Fuel System, Gasoline",1981-07-22
Recall,Brakes:hydraulic:lines:metallic,"Service Brakes, Hydraulic",1981-07-17
Recall,Brakes:hydraulic:power assist:booster,"Service Brakes, Hydraulic",1981-07-07
Recall,Electrical system:wiring:other part,Electrical System,1981-06-15
Recall,Structure:frame:members and body:other parts,N/A,1981-05-21
Recall,Fuel:fuel tank assembly:pipe:filler:neck,"Fuel System, Gasoline",1981-04-07
Recall,Equipment:speed control vacuum lines,N/A,1981-04-06
Recall,Power train:transmission:3 speed:shift pattern ind,Power Train,1981-04-01
Recall,Wheels:single:rim base,Wheels,1981-03-20
Recall,Fuel:fuel tank assembly:attachments,"Fuel System, Gasoline",1981-02-13
Large Recall,Power train:transmission:automatic:indicator:lever,Power Train,1981-01-12
Recall,Suspension:single axle:rear:control arm,Suspension,1982-12-28
Recall,Structure:shields:protectors:lines:tubing,Structure,1982-12-13
Recall,Fuel:fuel pump,"Fuel System, Gasoline",1982-12-13
Recall,Fuel:throttle linkages:accelerator:flexible,Vehicle Speed Control,1982-12-07
Recall,Brakes:hydraulic:lines:metallic,"Service Brakes, Hydraulic",1982-12-07
Recall,Power train:axle assembly,Power Train,1982-10-26
Recall,Structure:hood assembly:hinge and attachments,Structure,1982-10-26
Recall,Power train:transmission:automatic,Power Train,1982-10-13
Recall,Power train:transmission:automatic:lever and linka,Power Train,1982-10-13
Recall,Visual systems:mirrors:rearview:exterior,Visibility,1982-10-12
Recall,Fuel:throttle linkages:accelerator:rigid,Vehicle Speed Control,1982-09-16
Recall,Fuel:fuel tank assembly:pipe:filler:neck,"Fuel System, Gasoline",1982-09-16
Large Recall,Air conditioner:motor:fan,Equipment,1982-05-11
Recall,Fuel:fuel tank assembly:pipe:filler:neck,"Fuel System, Gasoline",1982-04-27
Recall,Exhaust system:muffler:resonator,Engine And Engine Cooling,1982-04-12
Recall,Fuel:lpg lines:fittings systems,"Fuel System, Other",1982-04-06
Recall,Fuel:throttle linkages and control,N/A,1982-03-26
Recall,Electrical system:starter,Electrical System,1982-03-15
Recall,Equipment:carrier:spare tire,Equipment,1982-03-15
Recall,Power train:transmission:automatic:lever and linka,Power Train,1982-01-13
Recall,Engine cooling system:fan,Engine And Engine Cooling,1983-12-28
Large Recall,Interior systems:restraint:belt anchor and attachm,Seat Belts,1983-12-20
Recall,Fuel:fuel tank:auxillary,"Fuel System, Gasoline",1983-11-07
Recall,Structure:hood assembly,Structure,1983-10-21
Recall,Engine:mounts,Engine And Engine Cooling,1983-09-21
Recall,Fuel:fuel lines:hoses:non-metallic,"Fuel System, Gasoline",1983-09-21
Large Recall,Structure:door assembly:latches and locks,Latches/locks/linkages,1983-06-22
Recall,Lighting:general or unknown component:instrument l,N/A,1983-05-16
Recall,Fuel:fuel tank assembly:attachments,"Fuel System, Gasoline",1983-05-04
Recall,Fuel:fuel lines:metallic,"Fuel System, Gasoline",1983-05-02
Recall,Fuel:fuel lines:metallic,"Fuel System, Gasoline",1983-04-11
Recall,Engine cooling system:fan,Engine And Engine Cooling,1983-04-05
Recall,Suspension:i-beam:solid:front spring:coil,Suspension,1983-03-22
Recall,Brakes:hydraulic:shoe and drum system:adjusters:la,"Service Brakes, Hydraulic",1983-03-22
Recall,Power train:transmission:automatic,Power Train,1983-03-07
Recall,Engine cooling system:fan,Engine And Engine Cooling,1983-03-01
Recall,Power train:transmission:automatic:lever and linka,Power Train,1983-02-24
Recall,Interior systems:seat tracks and anchors,N/A,1983-02-24
Large Recall,Interior systems:seat and shoulder belts and belt,N/A,1983-02-17
Recall,Electrical system:wiring:other part,Electrical System,1983-02-15
Recall,Fuel:fuel tank assembly:tank,"Fuel System, Gasoline",1983-02-08
Recall,Fuel:fuel injection:electrical:line:hose,"Fuel System, Gasoline",1984-12-26
Recall,Brakes:hydraulic:power assist:lines:vacuum,"Service Brakes, Hydraulic",1984-10-23
Recall,Brakes:hydraulic:lines:hose:non-metallic,"Service Brakes, Hydraulic",1984-10-10
Recall,Fuel:carburetor:unknown type,"Fuel System, Gasoline",1984-10-02
Large Recall,Structure:hood assembly:latches,Latches/locks/linkages,1984-09-25
Large Recall,Fuel:fuel lines:hoses:non-metallic,"Fuel System, Gasoline",1984-09-25
Recall,Engine cooling system:fan,Engine And Engine Cooling,1984-09-11
Recall,Suspension,N/A,1984-09-06
Recall,Steering:power:gear box,Steering,1984-08-29
Recall,Interior systems:seat track anchors and seats,N/A,1984-07-18
Large Recall,Fuel:fuel tank assembly:cap:filler,"Fuel System, Gasoline",1984-07-09
Large Recall,Engine cooling system:fan,Engine And Engine Cooling,1984-06-26
Large Recall,Interior systems:seat track anchors and seats,N/A,1984-06-15
Recall,Steering:linkages:rod:relay:connecting,Steering,1984-06-15
Recall,Fuel:fuel separator (8/82),"Fuel System, Diesel",1984-05-22
Recall,Suspension:i-beam:solid:front spring:coil,Suspension,1984-04-10
Recall,Brakes:hydraulic:linkage:pedal,"Service Brakes, Hydraulic",1984-03-26
Recall,Fuel:fuel tank assembly:attachments,"Fuel System, Gasoline",1984-03-23
Recall,Wheels:locking mechanism,Wheels,1984-03-06
Recall,Steering:column locking:anti-theft device,Steering,1984-01-13
Recall,Manufacturer's information to dealers,N/A,1984-01-13
Recall,Fuel:fuel lines:hoses:non-metallic,"Fuel System, Gasoline",1984-01-07
Recall,Wheels,N/A,1984-01-07
Recall,Steering:column locking:anti-theft device,Steering,1985-12-26
Recall,Emergency parking brake:air:valve:control,Parking Brake,1985-12-20
Large Recall,Suspension:single axle:rear:control arm,Suspension,1985-11-05
Recall,Electrical system:ignition:electronic control unit,Electrical System,1985-10-22
Recall,Fuel:fuel lines:hoses:non-metallic,"Fuel System, Gasoline",1985-10-18
Recall,Fuel:fuel tank:auxillary,"Fuel System, Gasoline",1985-10-15
Recall,Power train:transmission:automatic:lever and linka,Power Train,1985-10-07
Recall,Electrical system:wiring:harness:front:underhood,Electrical System,1985-09-24
Recall,Fuel:throttle linkages and control,N/A,1985-09-19
Large Recall,Suspension:single axle:rear:control arm,Suspension,1985-07-03
Recall,Structure:shields:protectors:lines:tubing,Structure,1985-06-11
Large Recall,Interior systems:seat belts:lap:rear,Seat Belts,1985-05-21
Recall,Brakes:hydraulic:power assist:booster,"Service Brakes, Hydraulic",1985-05-21
Recall,Fuel:fuel system:water / fuel detection system (di,N/A,1985-05-14
